Feature_1,Feature_2,Correlation,Abs_Correlation
num_hyphens,num_digits,0.18092352340752,0.18092352340752
leet_speak_score,label,0.18083203907981524,0.18083203907981524
num_qmark,max_digits,0.18029330587340245,0.18029330587340245
num_hyphens,ratio_digits,0.17950806804078698,0.17950806804078698
sus_words,leet_brand_score,0.1787147641893623,0.1787147641893623
num_underscores,num_slashes,0.1783858366711255,0.1783858366711255
num_dots,num_frag,0.17805242302326804,0.17805242302326804
num_percent,num_letters,0.17802440995622265,0.17802440995622265
num_amp,ratio_digits,0.17786097111361854,0.17786097111361854
num_digits,path_depth,0.1776671512839723,0.1776671512839723
url_len,num_qmark,0.17737339046821868,0.17737339046821868
url_entropy,https_flag,-0.17691503584300658,0.17691503584300658
num_equal,path_depth,0.17646942444756528,0.17646942444756528
num_equal,num_subdirs,0.17617058188829526,0.17617058188829526
num_hyphens,num_letters,0.17579697259421595,0.17579697259421595
sus_words,visual_brand_similarity,0.17526514932867274,0.17526514932867274
num_digits,num_subdirs,0.17450770268389668,0.17450770268389668
num_dots,tld_len,0.17447010190503406,0.17447010190503406
num_at,num_frag,0.17365949228492802,0.17365949228492802
path_len,num_special,0.1732980473941725,0.1732980473941725
path_len,num_params,0.17260442820801486,0.17260442820801486
num_underscores,path_depth,0.1723856835478753,0.1723856835478753
num_params,path_depth,0.17120213664313344,0.17120213664313344
num_underscores,num_percent,0.1708809761696504,0.1708809761696504
num_amp,num_frag,0.1706426802658709,0.1706426802658709
num_subdirs,num_params,0.17053776469706056,0.17053776469706056
path_dots,http_no_brand_no_age,0.16957030794176028,0.16957030794176028
num_equal,has_redirect,0.16881712138017435,0.16881712138017435
num_underscores,num_special,0.1683134867398398,0.1683134867398398
path_dots,visual_brand_similarity,0.16768730594205783,0.16768730594205783
url_len,ratio_digits,0.16768143155359636,0.16768143155359636
num_special,num_slashes,0.16735332642260772,0.16735332642260772
ratio_digits,label,0.16534460495240963,0.16534460495240963
num_percent,max_consonants,0.16383253420991717,0.16383253420991717
ratio_digits,subdomain_parts,0.16303460010915732,0.16303460010915732
num_special,max_digits,0.16189502609310347,0.16189502609310347
num_percent,num_special,0.16040714034025902,0.16040714034025902
visual_brand_similarity,http_no_brand_no_age,0.1597755710093835,0.1597755710093835
num_underscores,num_digits,0.15970930418385224,0.15970930418385224
num_params,ratio_letters,-0.1596094324117446,0.1596094324117446
num_underscores,num_subdirs,0.15932576756342798,0.15932576756342798
num_underscores,num_letters,0.15867928119341793,0.15867928119341793
num_percent,max_vowels,0.15639599063224274,0.15639599063224274
tld_len,domain_len,0.1552520567651543,0.1552520567651543
num_params,has_redirect,0.15301368050996889,0.15301368050996889
num_qmark,ratio_digits,0.15161301981220449,0.15161301981220449
path_len,num_amp,0.15091041837270225,0.15091041837270225
path_dots,max_digits,0.14983328959921147,0.14983328959921147
num_special,max_consonants,0.1495897271887069,0.1495897271887069
num_equal,ratio_letters,-0.14936037639526484,0.14936037639526484
http_no_brand_no_age,leet_brand_score,0.14915218903495664,0.14915218903495664
num_dots,ratio_letters,-0.14817954919868498,0.14817954919868498
num_qmark,max_consonants,0.1470583500411618,0.1470583500411618
num_amp,num_subdirs,0.1469190899151936,0.1469190899151936
num_digits,encoding_ratio,0.14621803143036827,0.14621803143036827
path_len,max_vowels,0.14541685177212718,0.14541685177212718
num_amp,path_depth,0.14527278414032754,0.14527278414032754
num_qmark,num_letters,0.14488676155572242,0.14488676155572242
num_at,num_params,0.14372172450664944,0.14372172450664944
